Coaster,Park,City,State,Type,Design,Opened,Speed,Height,Drop,Length,Inversions,Age_Group
Afterburner,Fun Spot,Angola,Indiana,Steel,Sit Down,1991,45,56,47,635,1,2:middle
Alpengeist,Busch Gardens Williamsburg,Williamsburg,Virginia,Steel,Inverted,1997,67,195,170,3828,,2:middle
American Eagle,Six Flags Great America,Gurnee,Illinois,Wooden,Sit Down,1981,66,127,147,4650,0,1:older
Anaconda,Paramounts Kings Dominion,Doswell,Virginia,Steel,Sit Down,1991,50,128,144,2700,4,2:middle
Apollos Chariot,Busch Gardens Williamsburg,Williamsburg,Virginia,Steel,Sit Down,1999,73,170,210,4882,0,3:newer
Arkansas Twister,Magic Springs and Crystal Falls,Hot Springs,Arkansas,Wooden,Sit Down,2000,,95,92,3340,0,3:newer
Batman And Robin; The Chiller,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,1998,70,200,139,1137,2,2:middle
Batman And Robin; The Chiller,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,1998,70,200,105,1229,3,2:middle
Batman Knight Flight,Six Flags Worlds of Adventure,Aurora,Ohio,Steel,Sit Down,2000,65,157,148,4210,5,3:newer
Batman The Escape,Six Flags AstroWorld,Houston,Texas,Steel,Stand Up,1993,55,90,85,2300,1,2:middle
Batman: The Ride,Six Flags New Orleans,New Orleans,Louisiana,Steel,Inverted,2003,50,105,80,2693,5,3:newer
Beast,Paramounts Kings Island,Kings Mills,Ohio,Wooden,Sit Down,1979,65,110,141,7400,0,1:older
Big Bad John,Magic Springs and Crystal Falls,Hot Springs,Arkansas,Steel,Sit Down,2002,37,32,41,2349,0,3:newer
Big Bad Wolf,Busch Gardens Williamsburg,Williamsburg,Virginia,Steel,Suspended,1984,48,100,80,2800,0,1:older
Blue Streak,Cedar Point,Sandusky,Ohio,Wooden,Sit Down,1964,40,78,72,2558,0,1:older
Boss,Six Flags St. Louis,Eureka,Missouri,Wooden,Sit Down,2000,66,122,150,5051,0,3:newer
Boulder Dash,Lake Compounce,Bristol,Connecticut,Wooden,Sit Down,2000,60,,115,4725,0,3:newer
California Screamin,Disneys California Adventure,Anaheim,California,Steel,Sit Down,2001,55,,108,6072,1,3:newer
Cannon Ball,Lake Winnepesaukah,Rossville,Georgia,Wooden,Sit Down,1967,50,70,70,2272,0,1:older
Canyon Blaster,Adventuredome,Las Vegas,Nevada,Steel,Sit Down,1993,41,94,66,2423,4,2:middle
Chang,Six Flags Kentucky Kingdom,Louisville,Kentucky,Steel,Stand Up,1997,63,154,144,4155,5,2:middle
Cheetah,Wild Adventures,Valdosta,Georgia,Wooden,Sit Down,2001,52,92,90,2680,0,3:newer
Coaster Thrill Ride,Puyallup Fair,Puyallup,Washington,Wooden,Sit Down,1935,50,55,52,2650,0,1:older
Colossus,Six Flags Magic Mountain,Valencia,California,Wooden,Sit Down,1978,62,125,115,4325,0,1:older
Comet,Great Escape,Lake George,New York,Wooden,Sit Down,1994,55,95,87,4197,0,2:middle
Comet,Hersheypark,Hershey,Pennsylvania,Wooden,Sit Down,1946,50,84,78,3360,0,1:older
Comet,Waldameer Park,Erie,Pennsylvania,Wooden,Sit Down,1951,25,37,25,1300,0,1:older
Corkscrew,Silverwood Theme Park,Athol,Idaho,Steel,Sit Down,1990,46,70,62,1250,2,1:older
Cyclone,Lakeside,Denver,Colorado,Wooden,Sit Down,1940,,90,89,2800,0,1:older
Cyclone,Williams Grove Park,Mechanicsburg,Pennsylvania,Wooden,Sit Down,1997,,65,60,2300,0,2:middle
Cyclops,Big Chief Carts And Coasters,Wisconsin Dells,Wisconsin,Wooden,Sit Down,1995,58,70,75,1900,0,2:middle
DŽjˆ Vu,Six Flags Great America,Gurnee,Illinois,Steel,Inverted,2001,66,192,177,1204,3,3:newer
DŽjˆ Vu,Six Flags Over Georgia,Austell,Georgia,Steel,Inverted,2001,66,192,177,1204,3,3:newer
Demon,Six Flags Great America,Gurnee,Illinois,Steel,Sit Down,1976,50,102,90,2130,4,1:older
Demon,Paramounts Great America,Santa Clara,California,Steel,Sit Down,1976,50,102,90,2130,4,1:older
Desperado,Buffalo Bills Resort & Casino,Primm,Nevada,Steel,Sit Down,1994,80,209,225,5843,0,2:middle
Diamond Back,Frontier City,Oklahoma City,Oklahoma,Steel,Sit Down,1993,45,56,47,635,1,2:middle
Dragon,Adventureland,Altoona,Iowa,Steel,Sit Down,1991,,90,85,2250,2,2:middle
Dueling Dragons,Universal Studios Islands of Adventure,Orlando,Florida,Steel,Inverted,1999,60,125,115,3200,5,3:newer
Dueling Dragons,Universal Studios Islands of Adventure,Orlando,Florida,Steel,Inverted,1999,55,125,95,3200,5,3:newer
Excalibur,Valleyfair!,Shakopee,Minnesota,Steel,Sit Down,1989,55,100,105,2415,0,1:older
Excalibur,Funtown Splashtown U.S.A.,Saco,Maine,Wooden,Sit Down,1998,55,100,82,2700,0,2:middle
Face/Off,Paramounts Kings Island,Kings Mills,Ohio,Steel,Inverted,1999,50,161,138,1014,3,3:newer
Gemini,Cedar Point,Sandusky,Ohio,Steel,Sit Down,1978,60,125,118,3935,0,1:older
Georgia Cyclone,Six Flags Over Georgia,Austell,Georgia,Wooden,Sit Down,1990,50,95,79,2970,0,1:older
Georgia Scorcher,Six Flags Over Georgia,Austell,Georgia,Steel,Stand Up,1999,54,107,101,3000,2,3:newer
GhostRider,Knotts Berry Farm,Buena Park,California,Wooden,Sit Down,1998,56,118,108,4533,0,2:middle
Giant Dipper,Santa Cruz Beach Boardwalk,Santa Cruz,California,Wooden,Sit Down,1924,55,70,65,2640,0,1:older
Goliath,Six Flags Magic Mountain,Valencia,California,Steel,Sit Down,2000,85,235,255,4500,0,3:newer
Great American Scream Machine,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,1989,68,173,155,3800,7,1:older
Great American Scream Machine,Six Flags Over Georgia,Austell,Georgia,Wooden,Sit Down,1973,57,105,89,3450,0,1:older
Great Bear,Hersheypark,Hershey,Pennsylvania,Steel,Inverted,1998,58,90,124,2800,4,2:middle
Great NorEaster,Moreys Piers,Wildwood,New Jersey,Steel,Inverted,1995,55,115,95,2170,5,2:middle
Great White,Moreys Piers,Wildwood,New Jersey,Wooden,Sit Down,1996,50,110,100,3300,0,2:middle
Great White,SeaWorld Of Texas,San Antonio,Texas,Steel,Inverted,1997,50,108,81,2562,5,2:middle
High Speed Thrill Coaster,Knoebels,Elysburg,Pennsylvania,Steel,Sit Down,1955,,18,12,200,0,1:older
Hurricane,Myrtle Beach Pavilion,Myrtle Beach,South Carolina,Wooden,Sit Down,2000,55,102,100,3800,0,3:newer
HyperSonic XLC,Paramounts Kings Dominion,Doswell,Virginia,Steel,Sit Down,2001,80,165,133,1560,0,3:newer
Incredible Hulk,Universal Studios Islands of Adventure,Orlando,Florida,Steel,Sit Down,1999,67,110,105,3700,7,3:newer
Invertigo,Paramounts Great America,Santa Clara,California,Steel,Inverted,1998,50,161,138,1014,3,2:middle
Iron Wolf,Six Flags Great America,Gurnee,Illinois,Steel,Stand Up,1990,55,100,90,2900,2,1:older
Jack Rabbit,Kennywood Park,West Mifflin,Pennsylvania,Wooden,Sit Down,1921,45,40,70,2132,0,1:older
Jaguar!,Knotts Berry Farm,Buena Park,California,Steel,Sit Down,1995,35,65,45,2602,0,2:middle
Judge Roy Scream,Six Flags Over Texas,Arlington,Texas,Wooden,Sit Down,1980,53,71,65,2670,0,1:older
Kraken,SeaWorld Orlando,Orlando,Florida,Steel,Sit Down,2000,65,149,144,4177,7,3:newer
Kumba,Busch Gardens Tampa,Tampa,Florida,Steel,Sit Down,1993,60,143,135,3978,7,2:middle
Leap The Dips,Lakemont Park,Altoona,Pennsylvania,Wooden,Sit Down,1999,,41,9,1452,0,3:newer
Loch Ness Monster,Busch Gardens Williamsburg,Williamsburg,Virginia,Steel,Sit Down,1978,60,130,114,3240,2,1:older
Magnum XL-200,Cedar Point,Sandusky,Ohio,Steel,Sit Down,1989,72,205,195,5106,0,1:older
Mamba,Worlds of Fun,Kansas City,Missouri,Steel,Sit Down,1998,75,205,205,5600,0,2:middle
Manhattan Express,"New York, New York Hotel & Casino",Las Vegas,Nevada,Steel,Sit Down,1997,67,203,144,4777,2,2:middle
Mantis,Cedar Point,Sandusky,Ohio,Steel,Stand Up,1996,60,145,137,3900,4,2:middle
Mean Streak,Cedar Point,Sandusky,Ohio,Wooden,Sit Down,1991,65,161,155,5427,0,2:middle
Medusa,Six Flags Marine World,Vallejo,California,Steel,Sit Down,2000,65,150,150,3937,7,3:newer
Medusa,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,1999,61,142,132,3985,7,3:newer
Millennium Force,Cedar Point,Sandusky,Ohio,Steel,Sit Down,2000,93,310,300,6595,0,3:newer
Montu,Busch Gardens Tampa,Tampa,Florida,Steel,Inverted,1996,60,150,128,3983,7,2:middle
New Mexico Rattler,Cliffs Amusement Park,Albuquerque,New Mexico,Wooden,Sit Down,2002,47,80,75,2750,0,3:newer
Nitro,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,2001,80,230,215,5394,0,3:newer
Pegasus,Big Chief Carts And Coasters,Wisconsin Dells,Wisconsin,Wooden,Sit Down,1996,,60,45,,0,2:middle
Phantoms Revenge,Kennywood Park,West Mifflin,Pennsylvania,Steel,Sit Down,2001,82,160,228,3200,0,3:newer
Phoenix,Knoebels,Elysburg,Pennsylvania,Wooden,Sit Down,1985,45,78,72,3200,0,1:older
Raging Bull,Six Flags Great America,Gurnee,Illinois,Steel,Sit Down,1999,73,202,208,5057,0,3:newer
Rampage,VisionLand,Bessemer,Alabama,Wooden,Sit Down,2003,56,120,102,3500,0,3:newer
Raptor,Cedar Point,Sandusky,Ohio,Steel,Inverted,1994,57,137,119,3790,6,2:middle
Rattler,Six Flags Fiesta Texas,San Antonio,Texas,Wooden,Sit Down,1992,65,180,124,5080,0,2:middle
Raven,Holiday World,Santa Claus,Indiana,Wooden,Sit Down,1995,48,80,110,2731,0,2:middle
Revolution,Libertyland,Memphis,Tennessee,Steel,Sit Down,1979,55,70,65,1565,3,1:older
Ricochet,Paramounts Kings Dominion,Doswell,Virginia,Steel,Sit Down,2002,,52,50,1340,0,3:newer
Riddlers Revenge,Six Flags Magic Mountain,Valencia,California,Steel,Stand Up,1998,65,156,146,4370,6,2:middle
River King Mine Train,Six Flags St. Louis,Eureka,Missouri,Steel,Sit Down,1971,37,32,41,2500,0,1:older
Scream!,Six Flags Magic Mountain,Valencia,California,Steel,Sit Down,2003,63,150,141,3985,7,3:newer
Screamer,Scandia Amusement Park,Ontario,California,Steel,Sit Down,1995,50,90,80,2600,0,2:middle
Screamin Eagle,Six Flags St. Louis,Eureka,Missouri,Wooden,Sit Down,1976,62,110,92,3872,0,1:older
Sidewinder,Six Flags Elitch Gardens,Denver,Colorado,Steel,Sit Down,1995,45,56,47,635,1,2:middle
Silver Bullet,Frontier City,Oklahoma City,Oklahoma,Steel,Sit Down,1979,55,83,75,1942,1,1:older
Silver Comet,Martins Fantasy Island,Grand Island,New York,Wooden,Sit Down,1999,50,,82,2800,0,3:newer
Skyliner,Lakemont Park,Altoona,Pennsylvania,Wooden,Sit Down,1987,,60,45,2400,0,1:older
Son Of Beast,Paramounts Kings Island,Kings Mills,Ohio,Wooden,Sit Down,2000,78,218,214,7032,1,3:newer
Starliner,Miracle Strip Amusement Park,Panama City Beach,Florida,Wooden,Sit Down,1963,55,70,76,2640,0,1:older
Steel Eel,SeaWorld Of Texas,San Antonio,Texas,Steel,Sit Down,1999,65,150,150,3700,0,3:newer
Steel Force,Dorney Park,Allentown,Pennsylvania,Steel,Sit Down,1997,75,200,205,5600,0,2:middle
Steel Venom,Valleyfair!,Shakopee,Minnesota,Steel,Inverted,2003,68,185,175,630,0,3:newer
Superman - Ride Of Steel,Six Flags New England,Agawam,Massachusetts,Steel,Sit Down,2000,77,208,221,5400,0,3:newer
Superman - Ride Of Steel,Six Flags Darien Lake,Darien Center,New York,Steel,Sit Down,1999,73,208,205,5400,0,3:newer
Superman - Ride Of Steel,Six Flags America,Upper Marlboro,Maryland,Steel,Sit Down,2000,73,200,190,5350,0,3:newer
Superman - Ultimate Flight,Six Flags Great America,Gurnee,Illinois,Steel,Flying,2003,50,115,109,2798,2,3:newer
Superman - Ultimate Flight,Six Flags Over Georgia,Austell,Georgia,Steel,Flying,2002,,115,100,2760,2,3:newer
Superman - Ultimate Flight,Six Flags Great Adventure,Jackson,New Jersey,Steel,Flying,2003,60,115,100,2759,2,3:newer
Superman The Escape,Six Flags Magic Mountain,Valencia,California,Steel,Sit Down,1997,100,415,328,1235,0,2:middle
Swamp Fox,Family Kingdom Amusement Park,Myrtle Beach,South Carolina,Wooden,Sit Down,1963,50,75,65,2400,0,1:older
Talon,Dorney Park,Allentown,Pennsylvania,Steel,Inverted,2001,58,135,120,3110,4,3:newer
Tennessee Tornado,Dollywood,Pigeon Forge,Tennessee,Steel,Sit Down,1999,63,163,128,2682,3,3:newer
Texas Cyclone,Six Flags AstroWorld,Houston,Texas,Wooden,Sit Down,1976,,93,80,3180,0,1:older
Texas Giant,Six Flags Over Texas,Arlington,Texas,Wooden,Sit Down,1990,65,143,137,4920,0,1:older
Thunderbolt,Kennywood Park,West Mifflin,Pennsylvania,Wooden,Sit Down,1924,55,70,95,2887,0,1:older
Thunderhawk,Dorney Park,Allentown,Pennsylvania,Wooden,Sit Down,1923,45,80,65,2767,0,1:older
Timber Wolf,Worlds of Fun,Kansas City,Missouri,Wooden,Sit Down,1989,53,100,95,4230,0,1:older
Titan,Six Flags Over Texas,Arlington,Texas,Steel,Sit Down,2001,85,245,255,5312,0,3:newer
Top Gun,Paramounts Great America,Santa Clara,California,Steel,Inverted,1993,50,102,91,2260,3,2:middle
Top Thrill Dragster,Cedar Point,Sandusky,Ohio,Steel,Sit Down,2003,120,420,400,2800,0,3:newer
Tremors,Silverwood Theme Park,Athol,Idaho,Wooden,Sit Down,1999,60,100,103,3000,0,3:newer
Twister,Knoebels,Elysburg,Pennsylvania,Wooden,Sit Down,1999,52,102,90,3900,0,3:newer
Two-Face: The Flip Side,Six Flags America,Upper Marlboro,Maryland,Steel,Inverted,1999,50,161,138,1014,3,3:newer
Ultra Twister,Six Flags AstroWorld,Houston,Texas,Steel,Pipeline,1990,44,97,92,1421,3,1:older
Vapor Trail,Sesame Place,Langhorne,Pennsylvania,Steel,Sit Down,1998,27,43,56,1300,0,2:middle
Viper,Six Flags Magic Mountain,Valencia,California,Steel,Sit Down,1990,70,188,171,3830,7,1:older
Viper,Six Flags Great America,Gurnee,Illinois,Wooden,Sit Down,1995,50,100,80,3458,0,2:middle
Viper,Six Flags Darien Lake,Darien Center,New York,Steel,Sit Down,1982,50,121,75,3100,5,1:older
"Volcano, The Blast Coaster",Paramounts Kings Dominion,Doswell,Virginia,Steel,Inverted,1998,70,155,80,2757,4,2:middle
Vortex,Paramounts Kings Island,Kings Mills,Ohio,Steel,Sit Down,1987,55,148,138,3800,6,1:older
Whirlwind,Knoebels,Elysburg,Pennsylvania,Steel,Sit Down,1993,,64,48,1200,2,2:middle
Whizzer,Six Flags Great America,Gurnee,Illinois,Steel,Sit Down,1976,42,70,64,3100,0,1:older
Wicked Twister,Cedar Point,Sandusky,Ohio,Steel,Inverted,2002,72,215,206,,0,3:newer
Wild One,Six Flags America,Upper Marlboro,Maryland,Wooden,Sit Down,1986,53,98,88,4000,0,1:older
Wild Thing,Valleyfair!,Shakopee,Minnesota,Steel,Sit Down,1996,74,207,196,5460,0,2:middle
Wild Thing,Wild Waves and Enchanted Village,Federal Way,Washington,Steel,Sit Down,1997,,,64,,3,2:middle
Wildcat,Hersheypark,Hershey,Pennsylvania,Wooden,Sit Down,1996,50,90,85,3183,0,2:middle
Wildcat,Lake Compounce,Bristol,Connecticut,Wooden,Sit Down,1927,48,85,78,2746,0,1:older
Wildcat,Frontier City,Oklahoma City,Oklahoma,Wooden,Sit Down,1991,60,75,65,2653,0,2:middle
Wildfire,Silver Dollar City,Branson,Missouri,Steel,Sit Down,2001,66,120,155,3073,5,3:newer
X,Six Flags Magic Mountain,Valencia,California,Steel,4th Dimension,2002,76,175,215,3610,2,3:newer
Zeus,Big Chief Carts And Coasters,Wisconsin Dells,Wisconsin,Wooden,Sit Down,1997,60,90,85,2900,0,2:middle
Zippin Pippin,Libertyland,Memphis,Tennessee,Wooden,Sit Down,1915,40,70,70,2865,0,1:older
Zonga,Six Flags Marine World,Vallejo,California,Steel,Sit Down,2003,62,115,98,3675,4,3:newer
